country_name,country_code,salary_primary,salary_lower_secondary,salary_upper_secondary,salary_average,science_mean_score,percentile_science_mean_score,math_mean_score,percentile_math_mean_score,reading_mean_score,percentile_reading_mean_score,average_mean_score,percentile_average_mean_score,GDP,region
Australia,AUS,59361.45263,59424.68852,59424.68852,59403.60989,509.9939,82,493.8962,55,502.9005596,67,502.2635532,61,1230859428705,Oceania
Austria,AUT,44779.4824,48421.61925,52129.92076,48443.67414,495.0375,50,496.7423,64,484.8655968,35,492.2151323,47,376967406148,Europe
Belgium,BFL,50652.26417,50652.26417,65058.86182,55454.46338,501.9997,67,506.9844,79,498.5241897,55,502.5027632,64,455106661673,Europe
Canada,CAN,65621.01754,65621.01754,65621.01754,65621.01754,527.7047,94,515.6474,94,526.6678053,100,523.3399684,97,1552807652015,North America
Chile,CHL,27683.53165,27683.53165,28275.57682,27880.88004,446.9561,11,422.6714,11,458.570876,14,442.732792,11,240796394225,Latin America
Czech Republic,CZE,19403.17004,19403.17004,19403.17004,19403.17004,492.83,41,492.3254,47,487.250142,38,490.8018473,41,185156359571,Europe
Germany,DEU,68265.53773,74078.12149,78578.61275,73640.75732,509.1406,76,505.9713,76,509.1041384,79,508.0720128,82,3363599907530,Europe
Denmark,DNK,55053.69459,55998.95548,60956.33703,57336.32903,501.9369,64,511.0876,88,499.8145851,61,504.279695,70,301307828844,Europe
United Kingdom,ENG,47069.87044,47069.87044,47069.87044,47069.87044,509.2215,79,492.4785,50,497.9719318,50,499.8906439,58,2858003087966,Europe
Spain,ESP,43304.20466,48336.4766,48336.4766,46659.05262,492.7861,38,485.8432,38,495.5764353,44,491.4019118,44,1192955480686,Europe
Finland,FIN,40531.1552,43773.99776,47252.27551,43852.47615,530.6612,97,511.0769,85,526.424749,97,522.7209497,94,231960207681,Europe
France,FRA,34955.50538,37638.05627,37930.31862,36841.29342,494.9776,47,492.9204,52,499.3061411,58,495.7347137,50,2418945624441,Europe
Greece,GRC,25076.81485,25076.81485,25076.81485,25076.81485,454.8288,14,453.6299,14,467.0395383,17,458.4994128,14,194860187692,Europe
Hungary,HUN,19284.40629,19284.40629,21129.74555,19899.51938,476.7475,26,476.8309,26,469.523257,20,474.367219,23,121715203208,Europe
Ireland,IRL,57448.71258,58040.3172,58040.3172,57843.11566,502.5751,70,503.722,70,520.8148411,94,509.0373137,85,283716012908,Europe
Israel,ISR,29718.06899,32509.2976,27036.28075,29754.54911,466.5528,20,469.6695,20,478.9606442,26,471.7276481,20,299413132027,Europe
Italy,ITA,33753.23374,36777.04253,37807.1108,36112.46235,480.5468,29,489.7287,41,484.7579965,32,485.0111655,32,1821579868524,Europe
Japan,JPN,50635.94007,50635.94007,50635.94007,50635.94007,538.3948,100,532.4399,100,515.95848,88,528.93106,100,4383076298082,Asia
Korea,KOR,49596.12985,49655.14602,48946.95194,49399.40927,515.8099,91,524.1062,97,517.4367085,91,519.1176028,91,1377873196261,Asia
Luxembourg,LUX,108470.2377,113135.6243,113135.6243,111580.4954,482.8064,32,485.7706,35,481.4390836,29,483.3386945,29,56802211456,Europe
Latvia,LVA,8871.661905,8871.661905,8871.661905,8871.661905,490.225,35,482.3051,32,487.7581014,41,486.7627338,35,27004061442,Europe
Mexico,MEX,28625.07897,36741.83482,53967.73313,39778.21564,415.7099,0,408.0235,5,423.2764798,0,415.6699599,2,1140724180142,Latin America
Netherlands,NLD,55141.2938,69268.14173,69268.14173,64559.19242,508.5748,73,512.2528,91,502.959051,70,507.9288837,79,750318056806,Europe
Norway,NOR,45771.10633,45771.10633,52082.82122,47875.01129,498.4811,55,501.7298,67,513.1911724,85,504.4673575,73,386578443733,Europe
New Zealand,NZL,42941.18433,44607.27668,46272.74758,44607.06953,513.3035,88,495.2233,61,509.270712,82,505.932504,76,173416551892,Oceania
Poland,POL,25374.84559,25374.84559,25374.84559,25374.84559,501.4353,61,504.4693,73,505.6970705,76,503.8672235,67,477066454437,Europe
Portugal,PRT,39128.60862,39128.60862,39128.60862,39128.60862,501.1001,58,491.627,44,498.1289046,52,496.9520015,55,199121686400,Europe
Slovak Republic,SVK,17930.07746,17930.07746,17930.07746,17930.07746,460.7749,17,475.2301,23,452.5143377,11,462.8397792,17,87267593788,Europe
Slovenia,SVN,38953.91854,38953.91854,38953.91854,38953.91854,512.8636,85,509.9196,82,505.2158815,73,509.3330272,88,42776716631,Europe
Sweden,SWE,40877.5368,41720.3126,43270.68373,41956.17771,493.4224,44,493.9181,58,500.155607,64,495.8320357,52,495694356612,Europe
Turkey,TUR,29570,30408,30408,30128.66667,425.4895,8,420.454,8,428.3350935,8,424.7595312,8,717887918353,Europe
United States,USA,60704.6,62368.51,61327.48,61466.86333,496.2424,52,469.6285,17,496.9350971,47,487.601999,38,18036648000000,North America
Colombia,COL,32686.02965,32686.02965,32686.02965,32686.02965,415.7288,2,389.6438,0,424.905167,2,410.092589,0,292080160448,Latin America
Costa Rica,CRI,32810.19646,45441.90308,45441.90308,41231.33421,419.608,5,400.2534,2,427.4875462,5,415.7829821,5,52958365929,Latin America
Lithuania,LTU,18368.51078,18368.51078,18368.51078,18368.51078,475.4089,23,478.3834,29,472.4065541,23,475.399618,26,41402022148,Europe
